zone_id,zone_name,borough,latitude,longitude
51,Co-Op City,Bronx,40.873972414464284,-73.828263393162217
259,Woodlawn/Wakefield,Bronx,40.897932098322187,-73.852215120594749
167,Morrisania/Melrose,Bronx,40.827512592085007,-73.902352082602761
174,Norwood,Bronx,40.877137401966138,-73.879022192615011
241,Van Cortlandt Village,Bronx,40.876512142169979,-73.895620196091983
242,Van Nest/Morris Park,Bronx,40.84678315747334,-73.850671207198232
200,Riverdale/North Riverdale/Fieldston,Bronx,40.899528359735022,-73.906987534793757
59,Crotona Park,Bronx,40.838550273704726,-73.894985928096659
247,West Concourse,Bronx,40.82898743010719,-73.924409936540329
248,West Farms/Bronx River,Bronx,40.834165307681225,-73.872289573977355
213,Soundview/Castle Hill,Bronx,40.817858722232351,-73.858134934888241
60,Crotona Park East,Bronx,40.833990406378049,-73.8859002728708
169,Mount Hope,Bronx,40.849058281051896,-73.905122464569956
78,East Tremont,Bronx,40.844960402372521,-73.885521541382744
183,Pelham Bay,Bronx,40.849172481223881,-73.8315818384612
235,University Heights/Morris Heights,Bronx,40.852520962981878,-73.915975811808266
147,Longwood,Bronx,40.819675673965747,-73.898956545375782
254,Williamsbridge/Olinville,Bronx,40.882156638987013,-73.8589486292516
250,Westchester Village/Unionport,Bronx,40.832101364277342,-73.848640877122691
240,Van Cortlandt Park,Bronx,40.894598689309369,-73.881977394187714
212,Soundview/Bruckner,Bronx,40.827902343433095,-73.869679983569711
184,Pelham Bay Park,Bronx,40.868275074257689,-73.8078582729173
159,Melrose South,Bronx,40.8182598170555,-73.912849316543443
31,Bronx Park,Bronx,40.857745640653647,-73.87547602248776
199,Rikers Island,Bronx,40.791132908929413,-73.882657996786321
58,Country Club,Bronx,40.841451934744171,-73.820393285625684
3,Allerton/Pelham Gardens,Bronx,40.864473723092694,-73.8474217808013
136,Kingsbridge Heights,Bronx,40.865264061067165,-73.9059112793715
18,Bedford Park,Bronx,40.867682214412881,-73.890183816976531
208,Schuylerville/Edgewater Park,Bronx,40.823317770021404,-73.823538897588293
185,Pelham Parkway,Bronx,40.854404937227784,-73.85439390074967
119,Highbridge,Bronx,40.837826777490726,-73.9261575816449
182,Parkchester,Bronx,40.837748623099607,-73.857986938488267
32,Bronxdale,Bronx,40.864002031267937,-73.86490091264659
126,Hunts Point,Bronx,40.812074196405696,-73.88553702961012
81,Eastchester,Bronx,40.8809350937503,-73.8366444008035
220,Spuyten Duyvil/Kingsbridge,Bronx,40.882403139771789,-73.910664912775644
46,City Island,Bronx,40.849085678512068,-73.7819876310312
69,East Concourse/Concourse Village,Bronx,40.831416239921722,-73.915030076837539
168,Mott Haven/Port Morris,Bronx,40.807347108643349,-73.916821523433526
47,Claremont/Bathgate,Bronx,40.84274836649012,-73.90031695591496
20,Belmont,Bronx,40.857779434582234,-73.885867448806977
94,Fordham South,Bronx,40.8581551878467,-73.899535944836913
26,Borough Park,Brooklyn,40.630949244100485,-73.988660569687028
210,Sheepshead Bay,Brooklyn,40.592023601142586,-73.940507253639836
257,Windsor Terrace,Brooklyn,40.653611637873446,-73.977982127481837
29,Brighton Beach,Brooklyn,40.58092174867177,-73.9612166205991
108,Gravesend,Brooklyn,40.588403603968452,-73.981431428442619
228,Sunset Park West,Brooklyn,40.652354137364796,-74.011272915388659
89,Flatbush/Ditmas Park,Brooklyn,40.637899625375255,-73.9609680569867
33,Brooklyn Heights,Brooklyn,40.695798082049521,-73.995250099366217
76,East New York,Brooklyn,40.66093413364861,-73.876820213451452
14,Bay Ridge,Brooklyn,40.6248336569004,-74.029892510297543
80,East Williamsburg,Brooklyn,40.7153696402659,-73.936793590381143
190,Prospect Park,Brooklyn,40.661621703950949,-73.968913800406881
150,Manhattan Beach,Brooklyn,40.580473347874779,-73.943628680218026
17,Bedford,Brooklyn,40.691507013249847,-73.94990480333658
195,Red Hook,Brooklyn,40.675548642125655,-74.009178427988871
39,Canarsie,Brooklyn,40.638036885808354,-73.899734683999952
112,Greenpoint,Brooklyn,40.729506162776119,-73.949540010732662
155,Marine Park/Mill Basin,Brooklyn,40.614591296894361,-73.91527729534846
55,Coney Island,Brooklyn,40.576961302728904,-73.987943607094067
71,East Flatbush/Farragut,Brooklyn,40.644287659655213,-73.937966199490646
154,Marine Park/Floyd Bennett Field,Brooklyn,40.593571050546032,-73.90259516411146
97,Fort Greene,Brooklyn,40.690786579949616,-73.974882014141812
255,Williamsburg (North Side),Brooklyn,40.718803889728065,-73.957418137776727
106,Gowanus,Brooklyn,40.67351267549131,-73.9906475512969
149,Madison,Brooklyn,40.604913462201068,-73.948135619583823
66,DUMBO/Vinegar Hill,Brooklyn,40.702258943886775,-73.9857015703999
49,Clinton Hill,Brooklyn,40.687967201154109,-73.962363370161967
54,Columbia Street,Brooklyn,40.687200614983624,-74.002911351285775
35,Brownsville,Brooklyn,40.66400293134771,-73.910257769391549
34,Brooklyn Navy Yard,Brooklyn,40.700855741874804,-73.971188604191866
